,Ticker,Valor
188,FAST,-7
416,SWK,-7
183,EXPD,-7
285,LIN,-7
161,ETN,-7
264,JCI,-7
153,DOV,-7
360,PYPL,-7
432,TER,-7
79,CHRW,-7
149,DG,-7
87,CARR,-7
439,TT,-7
362,PNR,-7
200,FTV,-7
201,FBHS,-7
329,NFLX,-7
113,CLX,-7
395,ROK,-7
57,AVY,-7
308,FB,-7
243,ITW,-7
240,IEX,-7
15,APD,-7
408,SHW,-7
77,BR,-6
80,CDNS,-6
372,POOL,-6
173,EQIX,-6
163,ECL,-6
353,ORCL,-6
350,ODFL,-6
152,DPZ,-6
334,NEE,-6
327,NDAQ,-6
299,MLM,-6
135,DHI,-6
88,CTLT,-6
282,LEN,-6
320,MPWR,-6
278,LRCX,-6
242,INFO,-6
252,IFF,-6
253,INTU,-6
254,ISRG,-6
468,VMC,-6
9,ADP,-6
442,TRMB,-6
19,ARE,-6
434,TXN,-6
429,TEL,-6
65,BIO,-6
425,TROW,-6
35,AWK,-6
269,KEYS,-6
177,ETSY,-6
47,AMAT,-6
48,APTV,-6
400,SPGI,-6
314,MSFT,-6
172,EFX,-6
61,BBWI,-6
171,EPAM,-6
186,FFIV,-6
261,JBHT,-5
0,MMM,-5
232,HON,-5
224,PEAK,-5
316,MRNA,-4
417,SBUX,-4
265,JPM,-4
420,SIVB,-4
421,SYF,-4
428,TGT,-4
435,TXT,-4
260,J,-4
456,URI,-4
464,VFC,-4
257,IQV,-4
474,WM,-4
475,WAT,-4
478,WELL,-4
246,IR,-4
480,WDC,-4
483,WHR,-4
241,IDXX,-4
489,YUM,-4
411,SWKS,-4
401,CRM,-4
277,LH,-4
398,ROST,-4
321,MNST,-4
312,MCHP,-4
322,MCO,-4
310,MTD,-4
325,MSI,-4
302,MTCH,-4
326,MSCI,-4
336,NKE,-4
317,MHK,-4
354,OTIS,-4
287,LKQ,-4
358,PAYX,-4
359,PAYC,-4
373,PPG,-4
383,PHM,-4
384,PVH,-4
393,RMD,-4
396,ROL,-4
298,MMC,-4
347,NXPI,-4
491,ZBH,-4
93,CE,-4
28,AMCR,-4
148,DISH,-4
40,APH,-4
41,ADI,-4
142,DXCM,-4
42,ANSS,-4
50,AJG,-4
126,CPRT,-4
125,COO,-4
54,ADSK,-4
64,BBY,-4
119,CMCSA,-4
67,BIIB,-4
68,BLK,-4
108,CTAS,-4
103,CMG,-4
72,BWA,-4
81,CZR,-4
85,KMX,-4
92,CDW,-4
99,CRL,-4
490,ZBRA,-4
25,GOOG,-4
27,AMZN,-4
21,ALLE,-4
223,HCA,-4
4,ABMD,-4
218,GS,-4
217,GM,-4
213,GPC,-4
210,GNRC,-4
207,GRMN,-4
204,BEN,-4
192,FRC,-4
24,GOOGL,-4
8,ADBE,-4
5,ACN,-4
13,A,-4
176,EL,-4
18,ALB,-4
168,ENPH,-4
162,EBAY,-4
20,ALGN,-4
11,AES,-4
96,CDAY,-4
198,F,-3
214,GILD,-3
300,MAS,-3
49,ANET,-2
402,SBAC,-2
460,VRSN,-2
29,AMD,-2
1,AOS,-2
231,HD,-2
348,ORLY,-2
345,NVDA,-2
338,NSC,-2
187,FDS,-2
273,KLAC,-2
290,LOW,-2
157,DRE,-2
144,DLR,-2
89,CAT,-1
267,K,-1
52,T,-1
237,HUM,1
488,XLNX,1
159,DXC,1
426,TTWO,1
127,GLW,1
424,TMUS,1
458,VLO,2
12,AFL,2
403,SLB,2
6,ATVI,2
477,WFC,2
75,BMY,2
367,PM,2
484,WMB,2
7,ADM,2
33,AXP,3
387,RJF,3
295,MPC,3
130,CTRA,4
123,ED,4
116,KO,4
3,ABBV,4
63,BDX,4
303,MKC,4
337,NI,4
141,DVN,4
134,CVS,4
45,APA,4
463,VRTX,4
114,CME,5
220,HAL,6
102,CVX,6
170,EOG,6
288,LMT,6
122,COP,6
37,ABC,6
305,MCK,6
370,PXD,6
226,HSY,6
185,XOM,7
469,WRB,7
181,EXC,7
446,TSN,7
294,MRO,7
349,OXY,7
